signal_date,symbol,entry_price,exit_price,pnl_amount,pnl_percentage,cumulative_balance,outcome,vix_value,market_regime,exit_date_daily,days_to_result,z_score
2022-05-10,SUNPHARMA,861.85,838.27,-2734.7,-2.74,114587.63,HIT_STOP_LOSS,22.8,BEAR_FLAT_50,2022-05-11,2,-2.6
2022-05-11,SUNPHARMA,854.8,902.19,5497.24,5.54,120084.87,HIT_TARGET,24.27,BEAR_FLAT_50,2022-05-17,4,-2.34
2022-05-11,HUDCO,32.2,31.04,-3617.32,-3.62,116467.55,HIT_STOP_LOSS,24.27,BEAR_FLAT_50,2022-05-11,1,-2.39
2022-05-11,RVNL,31.15,30.21,-3001.35,-3.0,113466.2,HIT_STOP_LOSS,24.27,BEAR_FLAT_50,2022-05-11,1,-2.31
2022-05-12,ICICIBANK,695.8,679.22,-2370.23,-2.38,111095.97,HIT_STOP_LOSS,23.49,BEAR_FLAT_50,2022-05-12,1,-2.3
2022-05-12,HUDCO,31.4,33.62,7068.48,7.07,118164.45,HIT_TARGET,23.49,BEAR_FLAT_50,2022-05-17,3,-2.43
2022-05-12,RVNL,30.45,32.32,6141.08,6.14,124305.53,HIT_TARGET,23.49,BEAR_FLAT_50,2022-05-17,3,-2.33
2022-05-13,ICICIBANK,677.35,713.08,5252.31,5.27,129557.84,HIT_TARGET,23.49,BEAR_FLAT_50,2022-05-17,2,-2.49
2022-05-16,ICICIBANK,677.35,713.08,5252.31,5.27,134810.15,HIT_TARGET,22.74,BEAR_FLAT_50,2022-05-17,2,-2.49
2022-05-19,BHARTIARTL,674.25,652.24,-3258.22,-3.27,131551.93,HIT_STOP_LOSS,23.1,BEAR_FLAT_50,2022-06-15,16,-2.28
2022-06-16,NIFTY,15360.6,16137.98,4664.28,5.06,136216.21,HIT_TARGET,22.76,BEAR_FLAT_50,2022-07-06,12,-2.35
2022-06-16,BHARTIARTL,654.2,632.05,-3366.8,-3.39,132849.41,HIT_STOP_LOSS,22.76,BEAR_FLAT_50,2022-07-13,16,-2.43
2022-06-17,BHARTIARTL,643.65,686.96,6713.05,6.73,139562.46,HIT_TARGET,22.76,BEAR_FLAT_50,2022-06-28,6,-2.51
2022-06-20,BHARTIARTL,643.65,686.96,6713.05,6.73,146275.51,HIT_TARGET,21.14,BEAR_FLAT_50,2022-06-28,6,-2.51
2022-07-14,TCS,2998.75,3230.22,7638.51,7.72,153914.02,HIT_TARGET,17.6,BEAR_FLAT_50,2022-07-27,8,-2.2
2022-09-23,RELIANCE,1162.7,1134.57,-2419.18,-2.42,151494.84,HIT_STOP_LOSS,20.59,BULL_SLOPE_50,2022-09-26,1,-2.23
2022-09-26,RELIANCE,1162.7,1134.57,-2419.18,-2.42,149075.66,HIT_STOP_LOSS,21.57,BULL_SLOPE_50,2022-09-26,1,-2.23
2022-09-27,NIFTY,17007.4,17602.21,2974.05,3.5,152049.71,HIT_TARGET,22.1,BULL_SLOPE_50,2022-10-18,12,-2.74
2022-09-27,RELIANCE,1142.05,1114.12,-2429.91,-2.45,149619.8,HIT_STOP_LOSS,22.1,BULL_SLOPE_50,2022-09-27,1,-2.35
2022-09-28,HDFCBANK,694.8,726.34,4510.22,4.54,154130.02,HIT_TARGET,21.3,BULL_SLOPE_50,2022-10-03,3,-2.64
2022-09-28,NIFTY,16858.6,17446.98,2941.9,3.49,157071.92,HIT_TARGET,21.3,BULL_SLOPE_50,2022-10-17,10,-2.57
2022-09-28,RELIANCE,1111.65,1170.44,5232.31,5.29,162304.23,HIT_TARGET,21.3,BULL_SLOPE_50,2022-10-17,10,-2.54
2022-09-29,HDFCBANK,691.2,722.76,4544.64,4.57,166848.87,HIT_TARGET,19.97,BULL_SLOPE_50,2022-10-03,2,-2.29
2022-09-29,NIFTY,16818.1,17409.09,2954.95,3.51,169803.82,HIT_TARGET,19.97,BULL_SLOPE_50,2022-10-05,3,-2.2
2022-12-20,INFY,1507.3,1474.61,-2157.54,-2.17,167646.28,HIT_STOP_LOSS,15.56,BULL_SLOPE_50,2023-01-04,10,-2.21
2022-12-21,ICICIBANK,892.25,876.44,-1770.16,-1.77,165876.12,HIT_STOP_LOSS,15.19,BULL_SLOPE_50,2022-12-22,2,-2.26
2022-12-21,BHARTIARTL,814.0,802.16,-1444.48,-1.45,164431.64,HIT_STOP_LOSS,15.19,BULL_SLOPE_50,2022-12-27,4,-2.34
2022-12-22,ITC,332.45,327.69,-1426.5,-1.43,163005.14,HIT_STOP_LOSS,16.16,BULL_SLOPE_50,2022-12-22,1,-2.25
2022-12-23,ICICIBANK,878.9,911.83,3721.09,3.75,166726.23,HIT_TARGET,16.16,BULL_SLOPE_50,2022-12-28,3,-2.22
2022-12-23,SBIN,574.0,594.94,3643.56,3.65,170369.79,HIT_TARGET,16.16,BULL_SLOPE_50,2022-12-26,1,-2.99
2022-12-23,NIFTY,17806.8,17577.28,-1147.57,-1.29,169222.22,HIT_STOP_LOSS,16.16,BULL_SLOPE_50,2023-01-26,19,-2.64
2022-12-26,ICICIBANK,878.9,911.83,3721.09,3.75,172943.31,HIT_TARGET,15.29,BULL_SLOPE_50,2022-12-28,3,-2.22
2022-12-26,SBIN,574.0,594.94,3643.56,3.65,176586.87,HIT_TARGET,15.29,BULL_SLOPE_50,2022-12-26,1,-2.99
2022-12-26,NIFTY,17806.8,17577.28,-1147.57,-1.29,175439.29,HIT_STOP_LOSS,15.29,BULL_SLOPE_50,2023-01-26,19,-2.64
2023-01-10,HDFCBANK,784.2,811.64,3484.88,3.5,178924.17,HIT_TARGET,15.44,BULL_SLOPE_50,2023-01-17,5,-2.49
2023-01-11,BHARTIARTL,765.55,748.93,-2159.95,-2.17,176764.22,HIT_STOP_LOSS,15.28,BULL_SLOPE_50,2023-02-27,26,-2.88
2023-01-26,AXISBANK,892.35,870.54,-2443.28,-2.44,174320.94,HIT_STOP_LOSS,17.32,BULL_SLOPE_50,2023-01-26,1,-2.24
2023-01-26,RELIANCE,1135.5,1115.21,-1785.52,-1.79,172535.42,HIT_STOP_LOSS,17.32,BULL_SLOPE_50,2023-01-26,1,-2.34
2023-01-27,AXISBANK,873.75,851.35,-2553.6,-2.56,169981.82,HIT_STOP_LOSS,17.32,BULL_SLOPE_50,2023-01-31,2,-2.56
2023-01-27,HUDCO,45.75,43.53,-4850.7,-4.85,165131.12,HIT_STOP_LOSS,17.32,BULL_SLOPE_50,2023-02-22,15,-2.3
2023-01-27,RELIANCE,1114.0,1158.24,3937.36,3.97,169068.48,HIT_TARGET,17.32,BULL_SLOPE_50,2023-02-14,10,-2.54
2023-01-30,AXISBANK,873.75,851.35,-2553.6,-2.56,166514.88,HIT_STOP_LOSS,16.88,BEAR_FLAT_50,2023-01-31,2,-2.56
2023-01-30,HUDCO,45.75,43.53,-4850.7,-4.85,161664.18,HIT_STOP_LOSS,16.88,BEAR_FLAT_50,2023-02-22,15,-2.3
2023-01-30,RELIANCE,1114.0,1158.24,3937.36,3.97,165601.54,HIT_TARGET,16.88,BEAR_FLAT_50,2023-02-14,10,-2.54
2023-01-31,AXISBANK,871.6,850.28,-2430.48,-2.45,163171.06,HIT_STOP_LOSS,16.78,BEAR_FLAT_50,2023-01-31,1,-2.26
2023-02-01,AXISBANK,857.25,837.06,-2342.62,-2.36,160828.44,HIT_STOP_LOSS,15.73,BEAR_FLAT_50,2023-02-01,1,-2.27
2023-02-01,SBIN,527.35,512.4,-2824.61,-2.83,158003.84,HIT_STOP_LOSS,15.73,BEAR_FLAT_50,2023-02-01,1,-2.62
2023-02-21,RVNL,64.95,61.31,-5601.96,-5.6,152401.88,HIT_STOP_LOSS,15.59,BEAR_FLAT_50,2023-02-27,4,-2.49
2023-02-22,RVNL,62.3,58.91,-5448.97,-5.45,146952.9,HIT_STOP_LOSS,15.08,BEAR_FLAT_50,2023-02-27,3,-2.53
2023-03-15,RELIANCE,1066.2,1127.02,5656.26,5.7,152609.16,HIT_TARGET,16.22,BEAR_FLAT_50,2023-04-11,13,-2.38
2023-03-28,JWL,86.05,95.49,10969.28,10.97,163578.44,HIT_TARGET,13.63,BEAR_FLAT_50,2023-04-04,3,-2.9
2023-06-15,ICICIBANK,926.6,916.42,-1089.26,-1.1,162489.18,HIT_STOP_LOSS,10.84,BULL_SLOPE_50,2023-06-19,2,-2.44
2023-06-15,SBIN,566.5,556.96,-1679.92,-1.68,160809.26,HIT_STOP_LOSS,10.84,BULL_SLOPE_50,2023-06-22,5,-2.44
2023-06-23,ADANIENT,2233.55,2513.31,12309.44,12.53,173118.7,HIT_TARGET,11.24,BULL_SLOPE_50,2023-07-31,20,-2.97
2023-06-23,SBIN,554.6,572.79,3274.2,3.28,176392.9,HIT_TARGET,11.24,BULL_SLOPE_50,2023-06-27,2,-2.31
2023-06-26,ADANIENT,2233.55,2513.31,12309.44,12.53,188702.34,HIT_TARGET,10.78,BULL_SLOPE_50,2023-07-31,20,-2.97
2023-06-26,SBIN,554.6,572.79,3274.2,3.28,191976.54,HIT_TARGET,10.78,BULL_SLOPE_50,2023-06-27,2,-2.31
2023-06-27,ADANIENT,2284.45,2438.86,6639.63,6.76,198616.17,HIT_TARGET,10.89,BULL_SLOPE_50,2023-07-10,7,-2.12
2023-07-25,HINDUNILVR,2568.15,2518.25,-1896.2,-1.94,196719.97,HIT_STOP_LOSS,10.46,BULL_SLOPE_50,2023-08-10,11,-2.47
2023-08-03,AXISBANK,935.55,975.66,4251.66,4.29,200971.63,HIT_TARGET,10.57,BULL_SLOPE_50,2023-08-22,10,-2.14
2023-08-16,BHARTIARTL,856.95,882.4,2952.2,2.97,203923.83,HIT_TARGET,12.24,BULL_SLOPE_50,2023-09-05,12,-2.61
2023-08-17,BHARTIARTL,856.7,881.81,2912.76,2.93,206836.59,HIT_TARGET,12.14,BULL_SLOPE_50,2023-09-05,11,-2.16
2023-08-29,RELIANCE,1210.2,1185.54,-2022.12,-2.04,204814.47,HIT_STOP_LOSS,11.8,BULL_SLOPE_50,2023-09-19,12,-2.59
2023-08-31,RELIANCE,1203.5,1182.84,-1714.78,-1.72,203099.69,HIT_STOP_LOSS,11.37,BULL_SLOPE_50,2023-09-19,10,-2.06
